# Pinout for LFE5UM-85F,,,,
,,,,
# Revision 0.1,,,,
# Status Preliminary,,,,
# Revised 9-Jan-24,,,,
# First extraction,,,,
,,,,
,,,,
,,,,
PADN,DIEPAD,PADX,PADY,CABGA381
614,VSS,-892.044,3351.285,GND
615,PT40B,-932.31,3254.162,Unused
616,PT42A,-979.038,3167.415,Unused
617,VCC,-979.038,3351.285,VCC
618,PT40A,-1019.304,3254.162,Unused
619,PT38B,-1069.38,3167.415,Unused
620,VSS,-1069.38,3351.285,GND
621,PT36B,-1109.646,3254.162,Unused
622,PT38A,-1156.374,3167.415,Unused
623,VCCAUX,-1156.374,3351.285,VCCAUX
624,PT36A,-1196.64,3254.162,Unused
625,PT33B,-1243.368,3167.415,Unused
626,VCCIO0,-1243.368,3351.285,VCCIO0
627,PT31B,-1283.634,3254.162,Unused
628,PT33A,-1330.362,3167.415,Unused
629,VSSIO0,-1330.362,3351.285,GND
630,PT31A,-1370.628,3254.162,Unused
631,PT29B,-1486.638,3167.415,Unused
632,VCCIO0,-1486.638,3351.285,VCCIO0
633,PT27B,-1526.904,3254.162,Unused
634,PT29A,-1573.632,3167.415,Unused
635,VSSIO0,-1573.632,3351.285,GND
636,PT27A,-1613.898,3254.162,Unused
637,PT24B,-1660.626,3167.415,Unused
638,VSS,-1660.626,3351.285,GND
639,PT22B,-1700.892,3254.162,Unused
640,PT24A,-1747.62,3167.415,Unused
641,VCC,-1747.62,3351.285,VCC
642,PT22A,-1787.886,3254.162,Unused
643,PT20B,-1834.614,3167.415,E9
644,VSS,-1834.614,3351.285,GND
645,PT18B,-1874.88,3254.162,A8
646,PT20A,-1921.608,3167.415,D9
647,VCCAUX,-1921.608,3351.285,VCCAUX
648,PT18A,-1961.874,3254.162,A7
649,PT15B,-2008.602,3167.415,B8
650,VCCIO0,-2008.602,3351.285,VCCIO0
651,PT13B,-2048.868,3254.162,D8
652,PT15A,-2095.596,3167.415,C8
653,VSSIO0,-2095.596,3351.285,GND
654,PT13A,-2135.862,3254.162,E8
655,PT11B,-2247.863,3167.415,C7
656,VCCIO0,-2247.863,3351.285,VCCIO0
657,PT9B,-2288.128,3254.162,D7
658,PT11A,-2334.856,3167.415,C6
659,VSSIO0,-2334.856,3351.285,GND
660,PT9A,-2375.123,3254.162,E7
661,PT6B,-2421.851,3167.415,D6
662,VSS,-2421.851,3351.285,GND
663,PT4B,-2462.117,3254.162,B6
664,PT6A,-2508.845,3167.415,E6
665,VCC,-2508.845,3351.285,VCC
666,PT4A,-2549.11,3254.162,A6
667,VSS,-2610.999,3351.285,GND
668,VCC,-2697.993,3351.285,VCC
669,VCCPLL0_ULC,-2785.626,3351.285,VCC
670,VSSPLL0_ULC,-2879.361,3351.285,GND
0,GND,0,0,C19
0,GND,0,0,H19
0,GND,0,0,R19
0,GND,0,0,G17
0,GND,0,0,M16
0,GND,0,0,G15
0,GND,0,0,K15
0,GND,0,0,N15
0,GND,0,0,B14
0,GND,0,0,F14
0,GND,0,0,G14
0,GND,0,0,J14
0,GND,0,0,K14
0,GND,0,0,M14
0,GND,0,0,N14
0,GND,0,0,P14
0,GND,0,0,F13
0,GND,0,0,G13
0,GND,0,0,P13
0,GND,0,0,G12
0,GND,0,0,J12
0,GND,0,0,K12
0,GND,0,0,L12
0,GND,0,0,M12
0,GND,0,0,P12
0,GND,0,0,G11
0,GND,0,0,J11
0,GND,0,0,K11
0,GND,0,0,L11
0,GND,0,0,M11
0,GND,0,0,P11
0,GND,0,0,G10
0,GND,0,0,J10
0,GND,0,0,K10
0,GND,0,0,L10
0,GND,0,0,M10
0,GND,0,0,G9
0,GND,0,0,J9
0,GND,0,0,K9
0,GND,0,0,L9
0,GND,0,0,M9
0,GND,0,0,F8
0,GND,0,0,G8
0,GND,0,0,P8
0,GND,0,0,B7
0,GND,0,0,F7
0,GND,0,0,G7
0,GND,0,0,J7
0,GND,0,0,K7
0,GND,0,0,M7
0,GND,0,0,N7
0,GND,0,0,P7
0,GND,0,0,G6
0,GND,0,0,K6
0,GND,0,0,N6
0,GND,0,0,D4
0,GND,0,0,G4
0,GND,0,0,J2
0,GND,0,0,M2
0,VCC,0,0,H13
0,VCC,0,0,J13
0,VCC,0,0,K13
0,VCC,0,0,L13
0,VCC,0,0,M13
0,VCC,0,0,N13
0,VCC,0,0,H12
0,VCC,0,0,N12
0,VCC,0,0,H11
0,VCC,0,0,N11
0,VCC,0,0,H10
0,VCC,0,0,N10
0,VCC,0,0,H9
0,VCC,0,0,N9
0,VCC,0,0,H8
0,VCC,0,0,J8
0,VCC,0,0,K8
0,VCC,0,0,L8
0,VCC,0,0,M8
0,VCC,0,0,N8
0,VCCAUX,0,0,F15
0,VCCAUX,0,0,P15
0,VCCAUX,0,0,F6
0,VCCAUX,0,0,P6
0,VCCIO0,0,0,F10
0,VCCIO0,0,0,F9
0,VCCIO1,0,0,F12
0,VCCIO1,0,0,F11
0,VCCIO2,0,0,H15
0,VCCIO2,0,0,J15
0,VCCIO2,0,0,H14
0,VCCIO3,0,0,L15
0,VCCIO3,0,0,M15
0,VCCIO3,0,0,L14
0,GNDA,0,0,V20
0,GNDA,0,0,V19
0,GNDA,0,0,W19
0,GNDA,0,0,V16
0,GNDA,0,0,W16
0,GNDA,0,0,V15
0,GNDA,0,0,W15
0,GNDA,0,0,U14
0,GNDA,0,0,V14
0,GNDA,0,0,U13
0,GNDA,0,0,V13
0,GNDA,0,0,U12
0,GNDA,0,0,V12
0,GNDA,0,0,W12
0,GNDA,0,0,U11
0,GNDA,0,0,U10
0,GNDA,0,0,U9
0,GNDA,0,0,V9
0,GNDA,0,0,U8
0,GNDA,0,0,V8
0,GNDA,0,0,U7
0,GNDA,0,0,V7
0,GNDA,0,0,W7
0,GNDA,0,0,V6
0,GNDA,0,0,W6
0,GNDA,0,0,V5
0,VCCA0,0,0,T6
0,VCCA0,0,0,U6
0,VCCA1,0,0,T15
0,VCCA1,0,0,U15
0,VCCAUXA0,0,0,V11
0,VCCAUXA0,0,0,V10
0,VCCAUXA1,0,0,V18
0,VCCAUXA1,0,0,V17
0,VCCIO8,0,0,P10
0,VCCIO8,0,0,P9
0,VCCIO6,0,0,L7
0,VCCIO6,0,0,L6
0,VCCIO6,0,0,M6
0,VCCIO7,0,0,H7
0,VCCIO7,0,0,H6
0,VCCIO7,0,0,J6
